age,covid_trouble_bills,education,enthusiasm,factory_farming_ban,gender,gss_bible,gss_spanking,gss_trust,id,income,loc_county,lv_likely,race,rigged_who_actually_won,social_fb,survey_method,vote2016,vote2020,vote_method,vote_ossoff_perdue,vote_warnock_loeffler,birth_control,covid_know_dead,covid_positive,covid_reduced_work,loc_east_west,loc_north_south,lv_thought,rigged_trump_concede,rigged_vote_counts,slaughterhouse_ban,urban_rural,vegetarian_imperative,weight,lv_index,lv_weight
35-54,Unsure,Graduated from college,More enthusiastic,Don't know,Other,Word of God,Don't know,Can't be too careful,wick_f6a87eb51ea043802ce4a7b5e280f8df4dfd75cf697cae01fa8fa962,"Under $15,000","Gwinnett County, GA",Already voted,Other,Don't know,No,IVR,Donald Trump,Other,Early vote in person,Undecided,Undecided,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.011459077051644378,0.83,0.012790231438316953
55-64,No,Graduated from high school,Less enthusiastic,Don't know,Male,Word of God,Agree,Can trust,wick_e9046721aa919126d851ac5eaa77c8d4781a037b41a8439210086e47,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.0066845470304764,0.83,1.1236269975206592
65 or older,No,"Some college, no degree",More enthusiastic,Don't know,Male,Word of God,Agree,Can't be too careful,wick_8a81cd1456f0fc4973da679a43fc8c05b4fbee2947d502b89eeb094b,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Don't know,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.41792792062272055,0.83,0.4664769078005361
65 or older,Yes,"Some college, no degree",More enthusiastic,Don't know,Female,Inspired word,Disagree,Can't be too careful,wick_5b575db10657df360ce2fb629b551fccf0ee214da50df92e33573166,"Between $15,000 and $49,999","Cobb County, GA",Already voted,"White, not Hispanic",Don't know,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.26377564817916116,0.83,0.29441739267469236
35-54,Yes,"Some college, no degree",Less enthusiastic,Don't know,Male,Inspired word,Agree,Can't be too careful,wick_f90b4bee10a1ab870beb2cef0ac19a87cf03ec0ee0588f0a64718b0f,"Between $15,000 and $49,999",Another county in Georgia,Already voted,Other,Joe Biden,No,IVR,Donald Trump,Joe Biden,Absentee by mail,Jon Ossoff,Undecided,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.5118264978370962,0.83,0.5712833009234619
65 or older,Unsure,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Don't know,Can't be too careful,wick_e9d44c2ed81a4ff6158924383b71e0b0cf5ea16afc14b450796169f9,"Under $15,000",Another county in Georgia,Already voted,"White, not Hispanic",Don't know,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.386691515507464,0.83,0.4316118965151963
35-54,No,Completed graduate school,More enthusiastic,Don't know,Male,Inspired word,Don't know,Can trust,wick_1166ebda053980ae52f1b819e69ad35206ae224b606f3e644b26e8c3,"Over $150,000","Cobb County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.9944183287618631,0.83,1.1099358625521618
55-64,No,Graduated from high school,More enthusiastic,Don't know,Male,Book of fables,Don't know,Can trust,wick_0a160fe9c55ed8a3c1a23db8c8f0e20f0212b9941ab18d68e65e2321,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.646591373779505,0.83,0.7217032645288323
65 or older,No,Completed graduate school,More enthusiastic,Don't know,Male,Book of fables,Don't know,Can't be too careful,wick_b449e168b94626159de3f04b3d394925ba8128a3f23be7c9045f5a16,"Between $75,000 and $99,999","Fulton County, GA",Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.0854677804611842,0.83,0.09539622499186723
18-34,No,Completed graduate school,More enthusiastic,Don't know,Male,Word of God,Agree,Can trust,wick_9d18d2c45609e837d5f50c3d4713f30c935cc8fc11262dfeccc79f36,"Between $75,000 and $99,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Donald Trump,Joe Biden,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.1652657435023403,0.83,0.18446399292839472
55-64,No,Graduated from college,More enthusiastic,Don't know,Male,Word of God,Agree,Can trust,wick_d7b3bf1b4861da09d37dae5c94360751f1a8938e8627d522040ad9e4,"Between $75,000 and $99,999","Fulton County, GA",Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Donald Trump,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.252937595566717,0.83,1.3984862614015705
65 or older,Yes,Graduated from high school,More enthusiastic,Disagree,Female,Word of God,Agree,Can't be too careful,wick_199743091c7f56a1e5831561688a632b4b58df2ff80709913c15ce2a,"Under $15,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.386691515507464,0.83,0.4316118965151963
65 or older,Yes,"Some college, no degree",More enthusiastic,Disagree,Female,Word of God,Agree,Can't be too careful,wick_ee0df5b6801d909bdce338c1bb34f695d62e6d7d0d2de4b02ee8afe9,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.3908435768426909,0.83,0.43624628593279935
35-54,Unsure,"Some college, no degree",About the same,Don't know,Male,Inspired word,Disagree,Can trust,wick_d8a101cba7688e7f323dccc07ba32ee9fdf8a9e082b5e14d7337951b,"Over $150,000","Cobb County, GA",Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,2.8420153568521833,0.83,3.172160724774439
55-64,Yes,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_5e921eb14ee8c2932399736c77cf359c8386fabf706e909688502547,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.9414450906448125,0.83,1.0508089387606052
65 or older,No,Completed graduate school,More enthusiastic,Don't know,Male,Inspired word,Agree,Can trust,wick_a23398fe374a2e01df39719af93c0c034e8a142705277a0ce0f84099,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.24641025832306077,0.83,0.27503473608942636
35-54,No,Graduated from college,More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_4045fd9ce1d17f4cc42205b38dabf7f8277dbf733143ec03261fe3c9,"Over $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.8853413512058759,0.83,2.1043537898797884
55-64,Yes,"Some college, no degree",More enthusiastic,Don't know,Female,Inspired word,Agree,Can trust,wick_f40871d9c9cbd82dc056eef18ee605fde7aab15a2b74343f306ececf,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.5191198716653489,0.83,0.579423916333333
55-64,No,Completed graduate school,More enthusiastic,Don't know,Male,Word of God,Agree,Can't be too careful,wick_4c34cf29e72ef157d51c3041c519388854ace3bdae0623c902e02877,"Between $75,000 and $99,999",Another county in Georgia,Already voted,Other,Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.14965818864989147,0.83,0.16704337189151974
65 or older,No,"Some college, no degree",More enthusiastic,Disagree,Female,Word of God,Agree,Can trust,wick_53dbe9f328b254d61405ecee54214f279fa19bd3ffc57757309b0de1,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.24845101827150856,0.83,0.2773125628230331
35-54,No,"Some college, no degree",More enthusiastic,Don't know,Female,Word of God,Agree,Can trust,wick_22cb9d0b40a689eabee06e1bd4f5979d026dd01182e5815f13dd1528,"Between $100,000 and $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,3.712647768798469,0.83,4.143930963887644
35-54,No,Completed graduate school,More enthusiastic,Don't know,Male,Inspired word,Don't know,Can't be too careful,wick_ac8a0f2c8210dd9717218ec93364ea31298f6df0511e087c4409edd8,"Between $75,000 and $99,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.6175400863196138,0.83,0.6892772071318481
65 or older,No,Graduated from college,More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_a1cb84c759522d47b689a97b881c679bcc32260eec0ddec66c9cd463,"Between $15,000 and $49,999","Fulton County, GA",Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.19261506585415705,0.83,0.2149903748511582
65 or older,No,Graduated from college,More enthusiastic,Don't know,Female,Book of fables,Disagree,Can trust,wick_d7a1d7d4471258dde29b1ebe0eae01149166899b72aec1db2eaa0d6a,"Over $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.17439044812179313,0.83,0.1946486773809994
55-64,No,Completed graduate school,More enthusiastic,Agree,Female,Inspired word,Agree,Can trust,wick_1ee6610765c5ff3adaf911032e936537bfa9614399d76a5b9d62a003,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Other,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.07871495515680352,0.83,0.08785895142993075
35-54,No,Completed graduate school,About the same,Don't know,Female,Book of fables,Disagree,Can't be too careful,wick_5756c03974fbf44fe756ef7a14cbabb668367dca71698933d4c955b7,"Over $150,000","Cobb County, GA",Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.9299738000564857,0.83,1.0380050749887115
55-64,No,"Some college, no degree",More enthusiastic,Agree,Female,Inspired word,Don't know,Can't be too careful,wick_5a22a12320befe4da80c60c33f9ee453a208da4d4d638796cc59d160,"Between $100,000 and $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.6323975245832874,0.83,0.7058605735859224
65 or older,No,Completed graduate school,More enthusiastic,Don't know,Female,Book of fables,Disagree,Can trust,wick_2f633880ed5b7b1dd55b95fdd74e475dd1910dfb851935aa3d44e804,"Over $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.19844272862035,0.83,0.22149501350470271
55-64,No,Completed graduate school,More enthusiastic,Disagree,Male,Book of fables,Don't know,Don't know,wick_a03f7acc41ea9e411367587e567e2d6f1dcc2b84c26fc54759894355,"Between $75,000 and $99,999","Fulton County, GA",Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.10597772705977324,0.83,0.11828872869013247
35-54,Yes,Graduated from college,Less enthusiastic,Agree,Female,Word of God,Disagree,Can trust,wick_f313433c48fe4cf5a8fa4151ad11510e9a760b07b6b1be1733f1de7d,"Between $50,000 and $74,999",Another county in Georgia,Very likely,Hispanic,Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,5.900308701629854,0.83,6.585723571911214
65 or older,No,Completed graduate school,About the same,Don't know,Female,Book of fables,Disagree,Can't be too careful,wick_6d9640104c13bab4dc9da66156a8e5f9ee7f12832e7022fea2312e64,"Over $150,000",Another county in Georgia,Already voted,Hispanic,Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,2.4509686424847947,0.83,2.735687703656687
35-54,No,"Some college, no degree",More enthusiastic,Don't know,Female,Book of fables,Don't know,Can trust,wick_f1e3d1775daf2ce2851fcf6efeb9ff1f9c006c095434881b1e69c3f8,"Between $75,000 and $99,999","Fulton County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.0083305469237014,0.83,1.1254642065285847
65 or older,No,Completed graduate school,More enthusiastic,Disagree,Male,Book of fables,Don't know,Can trust,wick_ab6935f0618b425dbd7bbba99e77a7a73bef320dc3f25b0f0a2c5dd5,"Over $150,000",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.5896746408349628,0.83,0.6581747461505472
35-54,No,Graduated from college,About the same,Don't know,Female,Inspired word,Don't know,Can't be too careful,wick_55a3e2c900f405f72dc74397e7d62c1dd48c2cfe4f95fd366c0506f0,"Between $75,000 and $99,999","Gwinnett County, GA",Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.8677306516730858,0.83,2.0846973269901596
65 or older,No,"Some college, no degree",About the same,Don't know,Female,Word of God,Agree,Can trust,wick_bb961e5881a8079211b1cdead5af6019659c16232bb3c7afbe1ddc9d,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.24845101827150856,0.83,0.2773125628230331
65 or older,No,Graduated from high school,More enthusiastic,Agree,Female,Word of God,Agree,Can't be too careful,wick_30a035191595990a07b0061c4158f182afbb589b4ed00f1d1a967b93,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.7592465375116796,0.83,0.8474451205580869
65 or older,No,Graduated from college,More enthusiastic,Don't know,Male,Word of God,Agree,Can't be too careful,wick_4a32461a470beea92f813a420bf475c1c5dcc6acedb83e3678289e71,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.1908504232022579,0.83,0.21302074083770364
18-34,No,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Agree,Can trust,wick_a5c0b25a68eacf394abcad09e188dad22a9f1953de420360ba223977,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.4167511451810331,0.83,0.4651634311407425
65 or older,No,Graduated from high school,About the same,Agree,Male,Word of God,Agree,Can't be too careful,wick_095f566fceb1dc7d662b58ac7f12cdd8944b4b935bcb773f5f277c87,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.8118601544524544,0.83,0.9061706474435961
35-54,Yes,Graduated from college,Less enthusiastic,Don't know,Male,Word of God,Disagree,Can't be too careful,wick_1ecfa5abfab669ce2f882bcf3cd78532a92fb04bfb7e66fca2820394,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.8424317625305813,0.83,0.9402936349231725
65 or older,No,Graduated from college,More enthusiastic,Don't know,Male,Word of God,Disagree,Can trust,wick_9dcc75b98a5be042b1b129b57fc4365b80a027afa765761af18b504d,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.1908504232022579,0.83,0.21302074083770364
55-64,No,Graduated from college,More enthusiastic,Don't know,Male,Word of God,Agree,Can trust,wick_1f4583847df4933887580b6f733d39c66316a05a1125d1c17b957cfa,"Between $100,000 and $150,000",Another county in Georgia,Already voted,Other,Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.4393485797246593,0.83,0.4903859177705643
65 or older,Yes,"Some college, no degree",More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_00d1bab4f0d4570bd4f4fe3965764b0582cb833f9f914f945b1b22ab,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Don't know,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.24845101827150856,0.83,0.2773125628230331
65 or older,No,Completed graduate school,More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_c42f8d3c03077d7620ef8e35b47690dbd07aef0c8688956674f9cfb7,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.08693276261616839,0.83,0.09703138816694712
55-64,No,Completed graduate school,More enthusiastic,Don't know,Female,Word of God,Agree,Can trust,wick_ea43f2e27f919a478f454ceb07bbe4ea743f7d29ba3067da4e9c0664,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.1695734493209659,0.83,0.18927210741615794
55-64,Unsure,"Some college, no degree",Less enthusiastic,Don't know,Male,I don't know,Disagree,Can't be too careful,wick_5160f4305a9cb0d06f1b1c52a5c135f5b1bb622ff2a8ef870a78941f,"Under $15,000","Cobb County, GA",Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.17812591332164693,0.83,0.1988180763841288
55-64,Unsure,Graduated from high school,More enthusiastic,Don't know,Male,Word of God,Disagree,Don't know,wick_3bbe54321b3a7cfd71a6eb63a12634eed8feb5e4fad7dd0b71c52bfc,"Between $15,000 and $49,999","Cobb County, GA",Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.0687775431643707,0.83,1.1929330845354997
65 or older,Yes,Graduated from high school,More enthusiastic,Don't know,Female,Inspired word,Don't know,Can trust,wick_7a101b772819b6ab6f9d3ef17ac4a27860476def949ab669e4e95995,"Under $15,000",Another county in Georgia,Very likely,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.6515973973182534,0.83,0.7272908174667948
35-54,No,Graduated from college,About the same,Don't know,Male,Inspired word,Agree,Can trust,wick_24795f9f33bf1d1b7d5b0879adef87182debe9ccb8058b8e29bb3f60,"Between $75,000 and $99,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.8059613120194784,0.83,0.8995865604708062
65 or older,No,"Some college, no degree",Less enthusiastic,Don't know,Female,Inspired word,Agree,Can't be too careful,wick_e3046664894ad48ad9056518bd396722b992926f505f9897ad68e301,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Other,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.37594743316098334,0.83,0.4196197178096605
65 or older,Yes,Graduated from college,More enthusiastic,Don't know,Male,Book of fables,Don't know,Can trust,wick_351ea8405f8f8da761edd0d1979bf2a7abb49e341d92f25b34366d70,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.11572547469325783,0.83,0.1291688325303177
65 or older,No,Completed graduate school,More enthusiastic,Disagree,Male,Book of fables,Disagree,Can trust,wick_bd3b87114dfff2d41b605ded8217017d4358d0ed561e663dc92f6a87,"Between $100,000 and $150,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.19081789183328057,0.83,0.21298443043186993
35-54,Yes,Graduated from high school,More enthusiastic,Agree,Female,Word of God,Agree,Can't be too careful,wick_55d07ec277878d418383c32c56827dbd1b91e5a6ae4bfb271a95cb26,"Between $15,000 and $49,999","Fulton County, GA",Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,5.689605527524339,0.83,6.3505438668222425
